Number,Wins,Losses,Draws,Simulations,White Nodes,Black Nodes,Moves From End,Fen
20,458,59,9483,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
21,414,63,9523,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
22,397,48,9555,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
23,423,69,9508,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
24,443,49,9508,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
25,422,67,9511,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
26,434,52,9514,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
27,420,58,9522,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
28,427,47,9526,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
29,399,54,9547,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
30,425,57,9518,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
31,384,61,9555,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
32,431,57,9512,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
33,435,60,9505,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
34,435,71,9494,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
35,400,78,9522,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
36,391,58,9551,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
37,409,42,9549,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
38,425,65,9510,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
39,396,48,9556,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
40,404,76,9520,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
41,427,64,9509,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
42,417,60,9523,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
43,428,55,9517,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
44,433,57,9510,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
45,382,63,9555,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
46,457,67,9476,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
47,381,68,9551,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
48,438,66,9496,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
49,407,64,9529,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
50,433,65,9502,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
""
1,193,250,9557,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
2,164,229,9607,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
3,183,254,9563,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
4,196,235,9569,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
5,167,228,9605,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
6,200,271,9529,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
7,159,256,9585,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
8,184,245,9571,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
9,192,268,9540,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
10,204,265,9531,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
11,210,256,9534,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
12,175,246,9579,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
13,201,250,9549,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
14,193,278,9529,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
15,193,256,9551,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
16,194,246,9560,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
17,174,273,9553,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
18,189,268,9543,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
19,171,251,9578,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
20,195,253,9552,10000,10000,15000,10,6R1/1p6/p1b1k1p1/7p/2rB1K1P/5P2/6P1/8 w - - 0 45
